GloveManager recording started on 04/12/18 at 13:10:46

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.017257,3427,3137,3389,3103,3495,3715,3640,3315,3898,3099,3686,3797,3476,3210,,0.125000,0.000000,1.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.666667,0.000000,0.250000,0.111111,0.333333
0.017836,3427,3137,3388,3103,3495,3715,3640,3315,3899,3099,3686,3796,3476,3210,,0.125000,0.000000,0.923077,0.000000,0.000000,0.250000,0.000000,0.000000,0.142857,0.666667,0.000000,0.000000,0.111111,0.333333
0.019048,3427,3137,3388,3103,3495,3716,3640,3315,3899,3099,3686,3797,3476,3210,,0.125000,0.000000,0.923077,0.000000,0.000000,0.333333,0.000000,0.000000,0.142857,0.666667,0.000000,0.250000,0.111111,0.333333
0.018715,3427,3137,3388,3103,3495,3716,3640,3315,3899,3099,3686,3797,3476,3210,,0.125000,0.000000,0.923077,0.000000,0.000000,0.333333,0.000000,0.000000,0.142857,0.666667,0.000000,0.250000,0.111111,0.333333
0.018083,3427,3137,3387,3103,3495,3716,3640,3315,3898,3099,3686,3797,3476,3210,,0.125000,0.000000,0.846154,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.666667,0.000000,0.250000,0.111111,0.333333
0.019059,3427,3137,3387,3105,3495,3712,3640,3315,3898,3099,3686,3797,3476,3210,,0.125000,0.000000,0.846154,0.033898,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.250000,0.111111,0.333333
0.018354,3428,3137,3385,3109,3494,3708,3640,3319,3898,3099,3687,3797,3476,3210,,0.250000,0.000000,0.692308,0.101695,0.000000,0.000000,0.000000,0.800000,0.000000,0.666667,0.045455,0.250000,0.111111,0.333333
0.018754,3428,3137,3385,3108,3495,3710,3640,3318,3899,3100,3686,3797,3476,3209,,0.250000,0.000000,0.692308,0.084746,0.125000,0.125000,0.000000,0.600000,0.142857,1.000000,0.000000,0.250000,0.111111,0.166667
0.019500,3428,3137,3384,3109,3495,3711,3640,3318,3899,3099,3686,3797,3476,3210,,0.250000,0.000000,0.615385,0.101695,0.125000,0.187500,0.000000,0.600000,0.142857,0.666667,0.000000,0.250000,0.111111,0.333333
0.019527,3428,3137,3383,3109,3496,3711,3639,3319,3899,3099,3686,3797,3476,3210,,0.250000,0.000000,0.538462,0.101695,0.250000,0.187500,0.000000,0.800000,0.142857,0.666667,0.000000,0.250000,0.111111,0.333333
0.019312,3427,3136,3382,3110,3496,3711,3639,3319,3899,3100,3686,3797,3476,3209,,0.125000,0.000000,0.461538,0.118644,0.250000,0.187500,0.000000,0.800000,0.142857,1.000000,0.000000,0.250000,0.111111,0.166667
0.017787,3427,3136,3381,3107,3496,3714,3639,3318,3899,3100,3686,3797,3477,3209,,0.125000,0.000000,0.384615,0.067797,0.250000,0.375000,0.000000,0.600000,0.142857,1.000000,0.000000,0.250000,0.166667,0.166667
0.020068,3427,3136,3382,3105,3497,3720,3640,3317,3900,3100,3687,3797,3476,3210,,0.125000,0.000000,0.461538,0.033898,0.375000,0.750000,0.076923,0.400000,0.285714,1.000000,0.045455,0.250000,0.111111,0.333333
0.019279,3427,3136,3383,3103,3497,3728,3639,3315,3900,3100,3686,3797,3477,3209,,0.125000,0.000000,0.538462,0.000000,0.375000,1.000000,0.000000,0.000000,0.285714,1.000000,0.000000,0.250000,0.166667,0.166667
0.018840,3427,3136,3384,3101,3498,3735,3640,3311,3901,3100,3685,3797,3477,3209,,0.125000,0.000000,0.615385,0.000000,0.500000,1.000000,0.076923,0.000000,0.428571,1.000000,0.000000,0.250000,0.166667,0.166667
0.020092,3427,3136,3385,3100,3498,3736,3640,3310,3901,3101,3685,3798,3477,3210,,0.125000,0.000000,0.692308,0.000000,0.500000,1.000000,0.076923,0.000000,0.428571,1.000000,0.000000,0.500000,0.166667,0.333333
0.020038,3427,3135,3386,3099,3499,3738,3640,3308,3902,3100,3685,3797,3477,3208,,0.125000,0.000000,0.769231,0.000000,0.625000,1.000000,0.076923,0.000000,0.571429,0.750000,0.000000,0.250000,0.166667,0.000000
