GloveManager recording started on 04/12/18 at 13:11:44

,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,Glove 1,,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled,Glove 1 Scaled
delta time (s),Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far,,Thumb Near,Thumb Far,Thumb/Index,Index Near,Index Far,Index/Middle,Middle Near,Middle Far,Middle/Ring,Ring Near,Ring Far,Ring/Little,Little Near,Little Far
0.019204,3429,3116,3368,3090,3484,3690,3636,3299,3891,3094,3672,3798,3470,3207,,0.722222,0.017241,0.041667,0.121951,0.166667,0.747368,0.111111,0.010101,0.745455,0.461538,0.019231,0.909091,0.214286,0.171429
0.019248,3429,3116,3368,3090,3483,3690,3636,3299,3891,3094,3672,3798,3470,3207,,0.722222,0.017241,0.041667,0.121951,0.125000,0.747368,0.111111,0.010101,0.745455,0.461538,0.019231,0.909091,0.214286,0.171429
0.019894,3429,3116,3368,3091,3484,3690,3636,3298,3891,3094,3671,3798,3470,3208,,0.722222,0.017241,0.041667,0.134146,0.166667,0.747368,0.111111,0.000000,0.745455,0.461538,0.000000,0.909091,0.214286,0.200000
0.018390,3429,3116,3368,3090,3483,3689,3636,3298,3891,3095,3671,3798,3470,3209,,0.722222,0.017241,0.041667,0.121951,0.125000,0.742105,0.111111,0.000000,0.745455,0.538462,0.000000,0.909091,0.214286,0.228571
0.018936,3429,3116,3368,3091,3483,3689,3636,3298,3891,3095,3671,3798,3471,3210,,0.722222,0.017241,0.041667,0.134146,0.125000,0.742105,0.111111,0.000000,0.745455,0.538462,0.000000,0.909091,0.250000,0.257143
0.019083,3429,3116,3368,3091,3483,3687,3636,3297,3892,3096,3671,3799,3471,3212,,0.722222,0.017241,0.041667,0.134146,0.125000,0.731579,0.111111,0.000000,0.763636,0.615385,0.000000,0.954545,0.250000,0.314286
0.018808,3429,3117,3368,3091,3483,3685,3636,3297,3892,3096,3671,3799,3471,3214,,0.722222,0.034483,0.041667,0.134146,0.125000,0.721053,0.111111,0.000000,0.763636,0.615385,0.000000,0.954545,0.250000,0.371429
0.018188,3429,3117,3368,3092,3484,3683,3636,3297,3892,3097,3671,3801,3472,3216,,0.722222,0.034483,0.041667,0.146341,0.166667,0.710526,0.111111,0.000000,0.763636,0.692308,0.000000,1.000000,0.285714,0.428571
0.019168,3429,3117,3367,3093,3483,3686,3636,3296,3893,3097,3671,3802,3472,3218,,0.722222,0.034483,0.020833,0.158537,0.125000,0.726316,0.111111,0.000000,0.781818,0.692308,0.000000,1.000000,0.285714,0.485714
